"Id","Predicted"
3016,224622.757576101
5492,295337.982431855
2757,103508.426216813
1397,213480.550081122
510,66940.213102154
4985,425446.063228972
2071,213869.32221557
1130,197941.180432744
4438,130920.857680439
2126,212192.449948782
5663,277270.730271491
5579,405097.294226406
1367,335668.628264238
1550,203983.27742357
1444,126946.249838238
1594,214484.693405896
5351,277019.4033802
581,164954.312322899
3968,373698.186762976
5679,338207.995657603
436,268584.99630012
3441,398165.407922987
155,324188.396373859
1822,178678.999438128
1303,118704.478011998
3683,187539.128478627
4141,221235.236594375
4420,447596.443310461
21,-2445.05112107764
5769,328868.539652906
5717,336361.265468184
2423,260702.607873106
2556,268281.150670712
3789,306276.204787734
1484,143936.130740259
504,324328.065202122
5537,216898.833963678
3140,380939.834205315
2766,370500.231436155
2247,95457.361244612
3104,239776.363809484
5618,372921.671287573
4087,304337.687766326
5851,286747.772722415
5140,301450.635830295
1999,208645.157777343
3938,426092.636673048
4751,194801.962896685
81,132128.011052291
3181,225780.476460076
4108,138817.356914083
4840,40635.9455912508
2488,144735.405703374
216,185083.467976234
5076,276007.605455023
3581,361400.4820826
1464,310270.887002536
973,63840.1210679804
5108,338260.523685549
4220,240596.520702825
2277,207227.637146189
99,248358.406006188
3788,331459.257290094
3217,299517.746015662
2647,175721.80462455
1319,121300.000631665
3231,124046.615722312
5173,361427.371243406
466,144255.015556324
1451,71409.7816956009
83,61558.5664564273
5244,334242.848259756
819,243251.461245424
2981,109853.816349487
5486,312128.574358616
3816,433481.848091532
4684,161559.805894076
2737,346950.253784276
3596,396025.08927056
3762,248865.442963591
3801,247198.404640407
3800,257580.495119075
223,293236.336309172
2160,229583.690254388
4491,124151.19868374
5832,388585.019100768
2031,138895.753849645
4277,260791.661719709
4687,205184.053375353
172,232267.043603557
2814,217163.306950416
4579,209077.337304853
5026,269799.651353386
770,212055.811054511
1371,102850.489846464
389,73620.3396194385
3175,259323.799218656
5100,164542.612806699
1911,35251.7268934112
5320,252954.353974224
2866,222588.939851496
3479,138716.287987105
649,184356.738210305
2845,219993.417231829
5343,176879.47019346
1547,285223.82690271
3773,142503.070988783
3956,235589.661819056
3815,420504.234993197
1621,213740.902313481
4066,109527.121236155
5644,171820.705875459
1485,223164.629091051
4896,123229.590524635
2693,241988.398233034
3785,405563.074019972
1292,101833.580984162
3431,221999.808832441
3311,125241.400323154
5831,363882.369406742
5807,279585.400443627
3476,132784.031223295
5008,144602.84448606
5086,292223.201327477
1456,198578.405226121
2566,211516.302276534
2832,203122.520203994
1684,108410.231985226
1897,128999.11869029
4362,97954.6728341537
5179,259287.623678157
2591,229916.103170987
2700,250033.441516531
1156,180654.324484503
1478,82808.7810365712
4719,174537.418992411
3669,136851.666672504
3138,103722.130664108
5234,324449.181858692
5723,304775.392256591
1789,129020.000620516
2169,204767.489796702
3667,413279.372029259
1325,123895.523251332
1153,72814.0439332572
1245,107024.626223496
3283,178598.280455751
5229,318232.399142984
2062,185061.305059473
1161,365766.176075655
5215,239741.397746835
2098,350388.00641502
75,320374.163260871
3517,349211.761191457
501,67014.1088089614
5709,382377.064999131
709,68131.4734841648
633,249264.79400375
1762,360492.112375318
5870,173896.594198439
4742,207779.57599502
265,-11981.7419030031
5004,364865.451205667
2657,232175.347694818
1022,73197.8730897792
3327,299343.955844373
2964,209330.47430563
3715,301366.011995931
3998,252608.435054673
3692,102662.16153626
4952,435880.618742238
2602,218389.203825791
2810,96140.1468363812
5570,223502.675879281
2171,349826.301519957
1715,28307.716377004
2485,206045.76997844
5098,343539.565353269
804,181255.835149243
4629,203886.292065519
4676,173239.657682577
3322,120648.975467554
5779,208508.490611239
902,118532.927733051
2352,123137.066387308
1914,72826.7696011094
3898,250899.260688195
5677,481639.984035565
2327,206449.073563692
663,63221.280692362
4272,414463.399831134
416,223736.16203189
5398,110735.533963528
1082,177904.774986709
1315,121300.000631665
2227,101726.221456864
726,338979.592761018
3384,216135.197863487
1317,108322.38753333
1467,348911.171254937
3400,20375.8548926211
1499,164058.408719033
5481,275871.562784353
1030,125476.938249459
4605,166750.85113341
3126,119435.420083937
513,171882.772261663
1385,102850.489846464
2225,134895.968992322
2320,82058.7419969186
4827,443845.505765439
3771,133681.449561582
4502,259883.965066585
3566,90460.1576473103
