"Id","Predicted"
3016,256097.704144054
5492,250869.249563132
2757,80716.2164122683
1397,200918.490954612
510,71921.4977279656
4985,383960.413137724
2071,228586.298168995
1130,178659.026361917
4438,148550.974967591
2126,211647.458927665
5663,250336.832467256
5579,361733.599741219
1367,393277.818083767
1550,195567.030546064
1444,129403.015118764
1594,234894.763955817
5351,232884.925233755
581,150418.463219845
3968,381584.969656259
5679,311147.801304049
436,278501.452627504
3441,408702.455423036
155,276643.722004847
1822,154701.435000334
1303,120140.59399686
3683,190251.978503554
4141,225846.474022144
4420,484428.062094019
21,8017.08052570973
5769,299570.426989405
5717,302664.924988289
2423,236151.07473398
2556,275703.981128531
3789,284827.106818513
1484,151802.651185717
504,338053.703112255
5537,216625.531428352
3140,334853.910829785
2766,428013.708754929
2247,95888.8677856823
3104,218793.596124784
5618,329422.206500934
4087,276363.55017418
5851,272492.615225722
5140,261594.338314286
1999,212834.013618293
3938,478547.791443442
4751,215679.946119952
81,148134.017639527
3181,234298.444675585
4108,153479.350790796
4840,149243.623353412
2488,152533.493611686
216,183249.79098582
5076,274997.606211429
3581,398059.032737938
1464,343932.660955192
973,97140.3214763674
5108,308452.102247814
4220,219664.922509738
2277,200272.91726117
99,259589.967669384
3788,355649.457334617
3217,278083.922882761
2647,169264.992641243
1319,122063.334950624
3231,100872.987117015
5173,321947.579651177
466,147399.34070093
1451,77635.7154220074
83,74681.4462402426
5244,316627.07011984
819,252879.259492728
2981,106082.892337213
5486,281015.399563222
3816,400565.496275426
4684,176878.85931799
2737,339892.419505613
3596,410678.593688491
3762,234951.34819942
3801,247099.960544177
3800,256133.233074716
223,283449.813398068
2160,235319.063234953
4491,144398.191765814
5832,375123.232272193
2031,139065.685948689
4277,264000.951772269
4687,224450.810463664
172,245326.30309691
2814,188691.815554729
4579,227759.585793027
5026,268271.330090978
770,217700.62292567
1371,109553.621640794
389,99579.3529316003
3175,248952.404896708
5100,162579.363624937
1911,26851.1247488144
5320,283969.430552213
2866,251894.441801355
3479,133793.272902813
649,179599.855008536
2845,249637.774733579
5343,166365.91152741
1547,295742.774215549
3773,141990.522202408
3956,247043.599125429
3815,388100.739562915
1621,221143.942110185
4066,124860.973236392
5644,160567.227426035
1485,215315.08167638
4896,138964.336351275
2693,250329.725501006
3785,416332.325239735
1292,107810.012421153
3431,205196.9038422
3311,114800.569237162
5831,336038.048496779
5807,253564.233679957
3476,104626.258405796
5008,116472.919808289
5086,277050.005620373
1456,184441.032561347
2566,220293.608422286
2832,235079.648990343
